5.55,5.07686,-8.30399,-14.6997,4.59828
5.6,4.66727,-8.07629,-14.46,4.98737
5.65,4.26953,-7.83038,-14.2011,5.36522
5.7,3.88453,-7.5668,-13.9236,5.73096
5.75,3.51314,-7.28615,-13.6282,6.08378
5.8,3.15619,-6.98907,-13.3155,6.42287
5.85,2.81449,-6.67622,-12.9862,6.74748
5.9,2.48882,-6.34831,-12.641,7.05686
5.95,2.1799,-6.00608,-12.2808,7.35033
6,1.88844,-5.6503,-11.9062,7.62722
6.05,1.61508,-5.28177,-11.5183,7.8869
6.1,1.36046,-4.90133,-11.1179,8.12879
6.15,1.12513,-4.50984,-10.7058,8.35235
6.2,0.909643,-4.10817,-10.2829,8.55706
6.25,0.714471,-3.69723,-9.85037,8.74247
6.3,0.540059,-3.27795,-9.40902,8.90816
6.35,0.386799,-2.85128,-8.95988,9.05376
6.4,0.255038,-2.41817,-8.50398,9.17893
6.45,0.145073,-1.97961,-8.04234,9.2834
6.5,0.0571516,-1.53659,-7.57599,9.36692
6.55,-0.0085277,-1.09009,-7.106,9.42932
6.6,-0.0518167,-0.64114,-6.63341,9.47044
6.65,-0.0726176,-0.190742,-6.15931,9.4902
6.7,-0.0708837,0.260087,-5.68475,9.48856
6.75,-0.0466187,0.710329,-5.21081,9.46551
6.8,0.000122567,1.15897,-4.73855,9.4211
6.85,0.0692347,1.605,-4.26905,9.35545
6.9,0.160562,2.0474,-3.80336,9.26868
6.95,0.273898,2.48519,-3.34253,9.16102
7,0.408987,2.91737,-2.88761,9.03268
7.05,0.565525,3.34297,-2.4396,8.88397
7.1,0.743158,3.76103,-1.99954,8.71522
7.15,0.941486,4.1706,-1.56841,8.52681
7.2,1.16006,4.57077,-1.14718,8.31916
7.25,1.39839,4.96062,-0.736807,8.09275
7.3,1.65594,5.33929,-0.338211,7.84808
7.35,1.93212,5.70591,0.0477057,7.58571
7.4,2.22631,6.05966,0.420074,7.30622
7.45,2.53786,6.39974,0.778053,7.01026
7.5,2.86605,6.72538,1.12084,6.69848
7.55,3.21014,7.03586,1.44765,6.37159
7.6,3.56937,7.33046,1.75775,6.03032
7.65,3.94291,7.60852,2.05045,5.67545
7.7,4.32993,7.86942,2.32509,5.30778
7.75,4.72956,8.11257,2.58103,4.92814
7.8,5.14089,8.33742,2.81772,4.53738
7.85,5.56299,8.54346,3.0346,4.13638
7.9,5.99491,8.73023,3.2312,3.72606
7.95,6.43568,8.8973,3.40707,3.30732
8,6.88431,9.0443,3.56181,2.88113
8.05,7.33977,9.17091,3.69507,2.44844
8.1,7.80105,9.27682,3.80656,2.01022
8.15,8.2671,9.3618,3.89602,1.56747
8.2,8.73688,9.42567,3.96325,1.12119
8.25,9.20932,9.46828,4.00809,0.672371
8.3,9.68335,9.48952,4.03046,0.222039
8.35,10.1579,9.48936,4.03029,-0.228795
8.4,10.6319,9.4678,4.00759,-0.679112
8.45,11.1043,9.42487,3.9624,-1.1279
8.5,11.5741,9.36069,3.89484,-1.57414
8.55,12.0401,9.27539,3.80505,-2.01683
8.6,12.5013,9.16916,3.69323,-2.45497
8.65,12.9566,9.04225,3.55965,-2.88757
8.7,13.4051,8.89494,3.40459,-3.31366
8.75,13.8458,8.72757,3.2284,-3.73227
8.8,14.2776,8.54051,3.0315,-4.14247
8.85,14.6995,8.33419,2.81431,-4.54332
8.9,15.1107,8.10906,2.57734,-4.93392
8.95,15.5101,7.86564,2.32111,-5.31339
9,15.8969,7.60448,2.0462,-5.68087
9.05,16.2703,7.32616,1.75323,-6.03554
9.1,16.6293,7.03132,1.44287,-6.37659
9.15,16.9731,6.72061,1.11581,-6.70326
9.2,17.3011,6.39475,0.772798,-7.01481
9.25,17.6124,6.05445,0.414597,-7.31054
9.3,17.9063,5.70051,0.0420189,-7.58977
9.35,18.1822,5.3337,-0.344095,-7.85188
9.4,18.4395,4.95486,-0.742874,-8.09628
9.45,18.6775,4.56484,-1.15342,-8.32242
9.5,18.8958,4.16453,-1.5748,-8.52978
9.55,19.0938,3.75482,-2.00608,-8.7179
9.6,19.2711,3.33664,-2.44626,-8.88635
9.65,19.4273,2.91093,-2.89438,-9.03476
9.7,19.5621,2.47866,-3.3494,-9.16278
9.75,19.6751,2.04079,-3.81031,-9.27014
9.8,19.7661,1.59833,-4.27607,-9.35659
9.85,19.8349,1.15225,-4.74562,-9.42193
9.9,19.8813,0.703579,-5.2179,-9.46601
9.95,19.9052,0.253319,-5.69186,-9.48874
10,19.9066,-0.197512,-6.16642,-9.49007
